Mes,Conversaciones,Mensajes,Promedio msj/conv,Numeros distintos,Recomendaciones,Referencias
Febrero 2026,6,143,23.8,2,0,0
Marzo 2026,8,73,9.1,6,23,46
Abril 2026,1,46,46.0,1,5,10
Mayo 2026,2,45,22.5,2,13,26
Junio 2026,1,13,13.0,1,2,4
Julio 2026,4,221,55.2,2,14,28
Agosto 2026,6,34,5.7,6,1,2
Total,28,575,20.5,15,58,116
