Categoria,Referencias,% del total
Hospitales y Centros Ambulatorios,61,52.6
Clínicas Dentales,21,18.1
Clínicas de Oftalmología,11,9.5
Cirugía Plástica y Estética,11,9.5
Centros de Especialidades,10,8.6
Spas,2,1.7
